Id;number_of_messages;mean_time
4;29;265.482759
5;1;7650.000000
8;30;255.133333
25;36;211.916667
46;3;2410.000000
a0;2;3870.500000
108;1;2802.000000
109;3;2094.666667
121;1;5164.000000
128;3;1880.000000
181;23;298.391304
182;23;298.956522
201;62;260.500000
202;62;261.451613
204;7;2214.000000
207;14;1036.428571
224;61;263.672131
227;14;1034.285714
247;1;7037.000000
305;14;1040.357143
307;1;7080.000000
308;7;1809.142857
309;4;1195.500000
30a;3;2587.666667
325;14;1041.928571
328;7;1824.428571
32a;3;2581.666667
345;6;2100.833333
348;1;3035.000000
368;7;1858.142857
388;7;1868.428571
3a8;7;1876.857143
3c8;1;2960.000000
421;1;5188.000000
430;4;3093.500000
441;1;7083.000000
461;1;2987.000000
