Id;number_of_messages;mean_time
4;29;260.655172
5;1;7524.000000
8;30;251.800000
25;36;208.194444
46;3;2403.666667
a0;2;3814.500000
108;1;2779.000000
109;3;2103.666667
121;1;5109.000000
128;3;1834.000000
181;23;293.739130
182;23;295.043478
201;62;272.983871
202;62;273.403226
204;7;2327.714286
207;14;1078.857143
224;61;275.508197
227;14;1077.357143
247;1;7719.000000
305;14;1085.714286
307;1;7760.000000
308;7;1886.571429
309;4;1182.500000
30a;3;2606.000000
325;14;1087.428571
328;7;1906.285714
32a;3;2595.333333
345;6;2182.500000
348;1;3262.000000
368;7;1953.857143
388;7;1960.000000
3a8;7;1970.000000
3c8;1;3179.000000
421;1;5144.000000
430;4;3173.000000
441;1;7840.000000
461;1;3188.000000
