Id;number_of_messages;mean_time
4;33;281.696970
5;3;1033.000000
7;1;7736.000000
8;34;271.764706
25;42;220.952381
46;4;2267.250000
a0;2;4691.500000
108;1;3308.000000
109;4;2070.500000
128;4;1911.000000
181;29;300.103448
182;30;312.333333
201;33;282.515152
202;33;282.909091
204;4;2261.500000
207;7;1207.428571
224;33;283.181818
227;7;1204.857143
247;1;7719.000000
305;7;1214.285714
307;1;7760.000000
308;4;1917.750000
30a;1;1263.000000
325;7;1216.428571
328;4;1952.000000
32a;1;1259.000000
345;3;2545.666667
348;1;3262.000000
368;4;1978.750000
388;4;1986.750000
3a8;4;1993.250000
3c8;1;3179.000000
430;2;3114.000000
441;1;7840.000000
461;1;3188.000000
