Id;number_of_messages;mean_time
4;26;283.269231
7;1;2589.000000
8;29;252.724138
25;33;221.545455
46;3;2029.333333
a0;2;3689.000000
109;4;1828.000000
128;4;1700.500000
181;31;231.580645
182;30;239.566667
201;87;268.873563
202;89;264.775281
204;10;2156.500000
207;21;1003.190476
224;87;268.528736
227;21;999.476190
247;2;4802.500000
305;21;1008.047619
307;2;4853.500000
308;11;1770.363636
309;4;1195.500000
30a;3;2587.666667
325;21;1011.380952
328;11;1781.363636
32a;3;2581.666667
345;10;1936.400000
348;1;3035.000000
368;11;1818.545455
388;11;1829.272727
3a8;11;1839.000000
3c8;1;2960.000000
421;1;5188.000000
430;6;2947.000000
441;2;4893.500000
461;1;2987.000000
