Id;number_of_messages;mean_time
4;33;255.606061
5;3;952.666667
7;1;7059.000000
8;34;246.382353
25;42;200.285714
46;4;2060.500000
a0;2;4256.500000
108;1;3078.000000
109;4;1902.500000
128;4;1744.000000
181;29;272.689655
182;30;283.200000
201;33;255.636364
202;33;257.000000
204;4;2058.250000
207;7;1104.428571
224;33;257.090909
227;7;1102.285714
247;1;7037.000000
305;7;1106.428571
307;1;7080.000000
308;4;1747.500000
30a;1;1178.000000
325;7;1107.714286
328;4;1770.000000
32a;1;1166.000000
345;3;2324.666667
348;1;3035.000000
368;4;1800.250000
388;4;1808.000000
3a8;4;1811.750000
3c8;1;2960.000000
430;2;2924.000000
441;1;7083.000000
461;1;2987.000000
