Id;number_of_messages;mean_time
4;3;140.000000
8;6;127.666667
25;6;128.333333
a0;1;0.000000
181;2;421.500000
182;2;409.000000
201;90;279.166667
202;92;275.445652
204;10;2286.200000
207;22;1021.727273
224;90;279.122222
227;22;1019.090909
247;2;5175.500000
305;22;1027.863636
307;2;5198.000000
308;11;1852.636364
309;4;1182.500000
30a;3;2606.000000
325;22;1030.727273
328;11;1868.454545
32a;3;2595.333333
345;10;2021.100000
348;1;3262.000000
368;11;1919.545455
388;11;1927.181818
3a8;11;1935.363636
3c8;1;3179.000000
421;1;5144.000000
430;7;2650.000000
441;2;5249.500000
461;1;3188.000000
